ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,Complain,Z_CostContact,Z_Revenue,Age,Children,HouseholdSize,CustomerTenure,TotalSpend,TotalPurchases,DealsPurchases,WebVisitIntensity,WebShare,CatalogShare,StoreShare,CampaignAcceptance,cluster,pc1,pc2,segment
10000,1973,Graduation,Single,43939.0,0,2,2014-01-27,59,70,62,90,7,20,25,4,3,4,3,6,0,0,0,0,0,0,0,3,11,42,2,3,339.0,274.0,10,4,6,0.3,0.4,0.3,0,1,1.77660769508451,-0.7560297587194482,Digital Enthusiasts
10001,1973,Master,Together,53956.0,1,1,2012-03-18,39,310,24,74,104,8,93,4,5,1,6,2,0,0,1,0,0,0,0,3,11,42,2,4,1019.0,613.0,12,4,2,0.4166666666666667,0.08333333333333333,0.5,1,1,1.6660234259308326,0.01695803768885469,Digital Enthusiasts
10002,1963,Graduation,Divorced,42581.0,1,0,2013-03-13,79,164,28,344,179,36,5,5,3,1,8,4,0,0,0,0,0,0,0,3,11,52,1,2,659.0,756.0,12,5,4,0.25,0.08333333333333333,0.6666666666666666,0,1,0.7804002743705676,1.4278403886905944,Digital Enthusiasts
10003,1985,Master,Married,38281.0,1,2,2014-05-06,64,130,60,50,15,42,26,4,2,4,2,7,0,0,0,0,0,0,0,3,11,30,3,5,240.0,323.0,8,4,7,0.25,0.5,0.25,0,1,3.3888967589349583,-1.3118065586741239,Digital Enthusiasts
10004,1951,PhD,Together,93169.0,0,0,2013-06-16,3,2135,219,1281,163,5,120,0,7,16,38,3,0,0,1,0,0,1,0,3,11,64,0,2,564.0,3733.2199999999975,58,0,3,0.11475409836065574,0.26229508196721313,0.6229508196721312,2,0,-3.3393388246560414,0.7677035889245861,High-Value Loyalists
10005,1959,Graduation,Together,35873.0,1,0,2014-01-24,64,417,31,84,38,45,241,2,2,5,11,9,0,0,1,0,0,0,0,3,11,56,1,3,342.0,856.0,18,2,9,0.1111111111111111,0.2777777777777778,0.6111111111111112,1,1,0.9548655654438603,1.0370264709939907,Digital Enthusiasts
10006,1973,Master,Widow,57656.0,0,1,2013-05-26,73,34,26,87,40,27,24,3,4,1,4,7,0,0,0,0,0,0,0,3,11,42,1,2,585.0,238.0,9,3,7,0.4444444444444444,0.1111111111111111,0.4444444444444444,0,1,0.8118444393357871,0.0580847985088446,Digital Enthusiasts
10007,1975,PhD,Widow,38107.0,1,1,2013-07-29,22,129,35,122,29,39,27,3,3,3,2,7,0,0,0,0,0,0,0,3,11,40,2,3,521.0,381.0,8,3,7,0.375,0.375,0.25,0,1,1.5728343260245818,-1.139516603462518,Digital Enthusiasts
10008,1962,Master,Together,86209.0,0,0,2013-10-03,1,454,99,76,60,4,425,1,11,4,7,2,1,0,1,0,1,0,0,3,11,53,0,2,455.0,1118.0,22,1,2,0.5,0.18181818181818182,0.3181818181818182,3,0,-1.5828181810148354,-0.803335591536478,High-Value Loyalists
10009,1963,Graduation,Widow,55241.0,0,0,2013-11-01,82,212,261,204,31,3,86,2,13,1,5,3,0,0,0,0,0,0,0,3,11,52,0,1,426.0,797.0,19,2,3,0.6842105263157895,0.05263157894736842,0.2631578947368421,0,0,-0.754141032418882,-0.8250962732775423,High-Value Loyalists
10010,1973,Graduation,Widow,58351.0,1,0,2013-01-25,30,793,72,214,30,0,196,2,3,9,13,7,0,1,0,0,0,0,0,3,11,42,1,2,706.0,1305.0,25,2,7,0.12,0.36,0.52,1,0,-0.364520728915367,0.38990557776031964,High-Value Loyalists
10011,1966,2n Cycle,Together,50193.0,1,0,2013-08-21,45,60,27,90,47,11,39,1,1,1,4,2,0,0,0,0,0,0,0,3,11,49,1,3,498.0,274.0,6,1,2,0.16666666666666666,0.16666666666666666,0.6666666666666666,0,1,0.7267543750391882,1.314597662344376,Digital Enthusiasts
10012,1983,Graduation,Together,38696.0,1,1,2012-11-02,57,126,7,54,56,19,15,5,1,0,4,8,0,0,0,0,0,0,0,3,11,32,2,4,790.0,277.0,5,5,8,0.2,0.0,0.8,0,1,2.6740963319996247,1.7576197264479674,Digital Enthusiasts
10013,1957,Graduation,Single,58686.0,1,0,2012-01-12,37,94,132,101,21,4,69,2,2,2,3,5,0,0,0,0,0,0,0,3,11,58,1,2,1085.0,421.0,7,2,5,0.2857142857142857,0.2857142857142857,0.42857142857142855,0,1,0.28409706084886327,0.08671906461043973,Digital Enthusiasts
10014,1980,PhD,Widow,80685.0,1,0,2012-04-02,0,778,25,323,31,10,29,1,4,10,5,5,0,0,0,0,0,0,0,3,11,35,1,2,1004.0,1196.0,19,1,5,0.21052631578947367,0.5263157894736842,0.2631578947368421,0,0,-0.7710125637918284,-1.1007168284888629,High-Value Loyalists
