ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,Complain,Z_CostContact,Z_Revenue
10000,1973,Graduation,Single,43939.0,0,2,2014-01-27,59,70,62,90,7,20,25,4,3,4,3,6,0,0,0,0,0,0,0,3,11
10001,1973,Master,Together,53956.0,1,1,2012-03-18,39,310,24,74,104,8,93,4,5,1,6,2,0,0,1,0,0,0,0,3,11
10002,1963,Graduation,Divorced,42581.0,1,0,2013-03-13,79,164,28,344,179,36,5,5,3,1,8,4,0,0,0,0,0,0,0,3,11
10003,1985,Master,Married,38281.0,1,2,2014-05-06,64,130,60,50,15,42,26,4,2,4,2,7,0,0,0,0,0,0,0,3,11
10004,1951,PhD,Together,93169.0,0,0,2013-06-16,3,2135,219,1281,163,5,120,0,7,16,38,3,0,0,1,0,0,1,0,3,11
10005,1959,Graduation,Together,35873.0,1,0,2014-01-24,64,417,31,84,38,45,241,2,2,5,11,9,0,0,1,0,0,0,0,3,11
10006,1973,Master,Widow,,0,1,2013-05-26,73,34,26,87,40,27,24,3,4,1,4,7,0,0,0,0,0,0,0,3,11
10007,1975,PhD,Widow,38107.0,1,1,2013-07-29,22,129,35,122,29,39,27,3,3,3,2,7,0,0,0,0,0,0,0,3,11
10008,1962,Master,Together,86209.0,0,0,2013-10-03,1,454,99,76,60,4,425,1,11,4,7,2,1,0,1,0,1,0,0,3,11
10009,1963,Graduation,Widow,55241.0,0,0,2013-11-01,82,212,261,204,31,3,86,2,13,1,5,3,0,0,0,0,0,0,0,3,11
10010,1973,Graduation,Widow,58351.0,1,0,2013-01-25,30,793,72,214,30,0,196,2,3,9,13,7,0,1,0,0,0,0,0,3,11
10011,1966,2n Cycle,Together,50193.0,1,0,2013-08-21,45,60,27,90,47,11,39,1,1,1,4,2,0,0,0,0,0,0,0,3,11
10012,1983,Graduation,Together,38696.0,1,1,2012-11-02,57,126,7,54,56,19,15,5,1,0,4,8,0,0,0,0,0,0,0,3,11
10013,1957,Graduation,Single,58686.0,1,0,2012-01-12,37,94,132,101,21,4,69,2,2,2,3,5,0,0,0,0,0,0,0,3,11
10014,1980,PhD,Widow,80685.0,1,0,2012-04-02,0,778,25,323,31,10,29,1,4,10,5,5,0,0,0,0,0,0,0,3,11
10015,1991,Graduation,Widow,61284.0,0,0,2013-07-12,13,384,60,189,57,14,61,2,5,3,7,4,0,0,1,0,1,0,0,3,11
10016,1965,Basic,Divorced,34687.0,1,1,2013-06-15,43,55,31,78,16,114,35,8,3,1,6,5,0,0,0,0,0,0,0,3,11
10017,1975,Graduation,Single,98233.0,0,0,2012-08-08,16,365,244,584,558,115,48,1,6,4,18,3,0,1,1,0,0,0,0,3,11
10018,1942,PhD,Single,58757.0,0,0,2013-02-02,35,491,56,363,10,74,62,5,11,1,6,6,1,1,0,1,1,1,0,3,11
10019,1957,Graduation,Widow,34839.0,1,1,2014-05-03,25,62,24,62,63,14,55,2,2,2,4,8,0,0,0,0,0,0,0,3,11
10020,1973,Graduation,Single,44508.0,0,2,2014-01-02,45,121,7,60,4,6,11,4,1,1,2,4,0,0,0,0,0,0,0,3,11
10021,1974,Master,Widow,79068.0,1,0,2013-01-03,62,653,87,128,100,2,77,2,5,3,12,3,0,0,0,0,0,0,0,3,11
10022,1963,Graduation,Widow,67328.0,0,0,2013-05-05,37,236,31,24,1,44,34,1,3,1,4,4,0,0,0,0,0,0,0,3,11
10023,1949,Graduation,Divorced,74211.0,1,0,2013-09-26,47,144,89,92,208,100,91,1,4,5,3,5,0,0,0,0,0,0,0,3,11
10024,1975,Graduation,Widow,31954.0,0,1,2013-10-05,89,95,18,111,44,57,25,6,3,2,4,9,0,1,0,1,0,0,0,3,11
10025,1975,Graduation,Divorced,90251.0,0,0,2012-05-13,12,1504,593,1487,384,659,229,1,16,18,40,0,0,0,1,1,0,1,0,3,11
10026,1980,2n Cycle,Single,65147.0,1,0,2012-09-09,99,279,18,294,89,108,120,4,4,4,6,8,0,0,0,1,1,1,0,3,11
10027,1970,Master,Together,88252.0,0,0,2013-03-01,47,601,173,617,5,152,168,0,9,3,15,3,0,0,0,0,0,1,0,3,11
10028,1969,Graduation,Married,79040.0,0,0,2014-03-23,29,387,198,521,169,215,36,0,7,2,18,4,0,0,0,0,0,1,0,3,11
10029,1964,Graduation,Married,,1,1,2012-04-03,52,64,25,176,28,2,9,6,3,1,2,3,1,0,0,0,0,0,0,3,11
10030,1978,PhD,Widow,38711.0,0,1,2013-10-12,87,101,14,141,35,22,10,5,1,1,2,8,0,0,1,0,0,0,0,3,11
10031,1940,Graduation,Widow,44593.0,1,0,2012-12-31,36,267,28,142,47,11,112,4,3,2,3,6,0,0,0,0,0,0,0,3,11
10032,1988,Graduation,Single,,1,1,2012-12-28,28,616,116,498,100,42,366,2,16,4,7,6,0,1,0,0,0,0,0,3,11
10033,1965,Basic,Together,55455.0,0,0,2013-05-19,73,452,117,146,88,64,42,4,5,1,7,8,0,0,0,0,0,0,0,3,11
10034,1986,Master,Married,52167.0,1,1,2012-06-27,29,562,16,543,196,91,265,2,12,4,10,6,0,1,0,1,1,1,0,3,11
10035,1967,Graduation,Together,94318.0,0,0,2013-07-23,17,883,146,951,74,49,228,1,13,18,11,3,0,0,0,0,0,0,0,3,11
10036,1970,Graduation,Together,92758.0,0,0,2013-03-19,13,735,311,780,2,2,62,0,2,4,19,2,0,0,0,0,0,0,0,3,11
10037,1980,Master,Widow,72984.0,0,0,2012-12-21,0,496,21,239,55,32,177,2,5,4,8,5,1,1,0,0,0,0,0,3,11
10038,1971,PhD,Divorced,100641.0,0,0,2012-05-11,60,857,126,1165,584,27,133,3,25,2,24,6,0,0,0,0,0,0,0,3,11
10039,1960,Graduation,Married,40167.0,0,1,2012-05-22,57,67,24,42,1,19,52,5,2,1,5,11,0,1,0,0,1,0,0,3,11
10040,1968,PhD,Married,,0,1,2012-07-02,61,336,79,410,390,42,31,4,6,1,14,7,0,0,0,0,0,0,0,3,11
10041,1957,2n Cycle,Divorced,41919.0,1,0,2013-08-16,48,126,90,84,49,39,79,3,3,3,4,3,0,0,0,0,0,0,0,3,11
10042,1970,Graduation,Married,29377.0,1,1,2012-12-18,48,218,86,147,16,0,84,3,3,2,9,8,0,0,1,0,1,0,0,3,11
10043,1984,Master,Divorced,89206.0,0,0,2012-01-11,23,265,247,273,561,82,183,0,7,10,15,6,1,0,0,1,0,1,0,3,11
10044,1961,2n Cycle,Single,43231.0,0,0,2014-02-25,67,222,41,65,97,2,52,2,3,3,2,5,0,0,0,0,0,0,0,3,11
10045,1963,PhD,Married,42201.0,0,0,2013-12-28,34,255,16,136,64,118,164,5,3,2,7,2,0,0,0,0,0,1,0,3,11
10046,1981,Basic,Divorced,64494.0,0,0,2013-09-22,46,815,1,405,12,12,23,1,5,2,10,4,0,1,0,0,0,1,0,3,11
10047,1976,Graduation,Married,63838.0,0,0,2013-08-30,38,416,26,342,97,31,32,0,9,1,7,5,0,0,0,0,0,0,0,3,11
10048,1987,Master,Together,31724.0,0,1,2013-08-11,35,121,46,65,16,31,95,1,1,1,2,6,0,0,0,0,1,0,0,3,11
10049,1967,Graduation,Together,84675.0,0,0,2013-11-27,18,716,361,497,63,109,457,3,19,3,12,2,0,0,1,0,0,0,0,3,11
10050,1954,Graduation,Widow,115087.0,0,0,2014-04-13,28,641,316,259,174,33,639,1,10,5,14,0,1,0,0,0,0,0,0,3,11
10051,1958,PhD,Together,76601.0,0,0,2014-05-26,21,858,273,424,55,165,95,1,4,18,12,4,0,0,1,0,0,0,0,3,11
10052,1976,PhD,Together,28756.0,0,1,2012-09-16,99,72,86,104,12,30,25,5,1,2,4,7,0,0,0,0,0,0,0,3,11
10053,1983,Graduation,Married,45883.0,1,2,2012-10-21,63,96,48,119,4,12,27,6,5,2,2,7,0,0,0,0,0,0,0,3,11
10054,1968,Graduation,Widow,41932.0,0,2,2012-05-30,53,101,24,96,41,20,4,3,2,1,1,5,0,0,0,0,1,0,0,3,11
10055,1990,Graduation,Widow,33565.0,1,1,2013-04-24,50,56,7,75,23,9,48,5,4,1,2,9,0,0,0,1,0,0,0,3,11
10056,1969,Basic,Widow,47368.0,1,0,2013-01-07,32,712,34,256,79,465,643,1,18,1,12,3,0,0,1,0,0,0,0,3,11
10057,1973,Master,Widow,32742.0,1,1,2013-07-23,44,45,15,80,12,4,31,4,2,2,2,4,0,0,0,0,0,0,0,3,11
10058,1952,Graduation,Single,89021.0,0,0,2013-07-11,9,462,28,677,573,264,232,1,3,23,16,4,0,0,0,1,0,1,0,3,11
10059,1980,Graduation,Married,113630.0,0,0,2013-06-11,41,707,214,415,176,29,141,1,9,1,20,3,0,1,0,0,0,0,0,3,11
10060,1964,2n Cycle,Single,30885.0,1,1,2012-01-15,91,152,4,31,42,15,302,4,2,1,8,3,0,0,0,0,0,0,0,3,11
10061,1978,Master,Single,63910.0,1,0,2013-07-24,28,344,38,234,60,74,65,0,5,9,11,4,0,0,0,0,1,0,0,3,11
10062,1974,Master,Divorced,43494.0,0,2,2012-05-10,67,106,15,58,12,1,19,7,2,1,1,8,0,0,0,0,0,0,0,3,11
10063,1982,Master,Single,23602.0,1,1,2014-04-27,43,84,23,39,5,25,17,5,3,1,6,7,0,0,0,0,0,0,0,3,11
10064,1967,Graduation,Married,46728.0,0,2,2012-02-02,60,101,2,51,5,78,80,4,1,1,1,3,0,0,0,0,0,0,0,3,11
10065,1966,Graduation,Together,29997.0,1,1,2013-03-11,29,62,46,33,4,3,17,5,1,2,2,6,0,0,0,0,0,0,0,3,11
10066,1957,Graduation,Single,40609.0,0,1,2012-12-21,39,100,7,70,20,22,14,2,1,1,1,4,0,0,0,1,0,1,0,3,11
10067,1969,Graduation,Widow,68287.0,1,0,2014-02-14,18,88,54,144,13,85,123,3,2,3,7,4,0,0,0,0,0,0,0,3,11
10068,1971,Master,Divorced,111802.0,0,0,2012-01-09,24,538,70,503,671,48,252,3,13,9,11,2,0,0,1,0,0,0,0,3,11
10069,1986,Master,Married,72571.0,1,0,2013-07-22,12,329,38,182,181,44,176,4,6,3,7,5,0,1,1,1,0,0,0,3,11
10070,1977,2n Cycle,Single,55944.0,0,0,2014-01-11,0,289,116,460,50,73,91,1,5,6,11,3,0,0,0,0,0,0,0,3,11
10071,1966,Graduation,Widow,55558.0,0,0,2013-12-05,7,951,47,268,67,331,73,0,8,5,14,11,1,0,0,0,0,0,0,3,11
10072,1960,Master,Together,53457.0,1,0,2012-09-19,48,140,107,61,13,20,36,3,4,0,6,11,0,0,0,0,0,0,0,3,11
10073,1966,Basic,Together,62514.0,0,0,2012-10-22,20,727,49,297,175,19,289,1,11,5,12,13,1,0,1,0,0,1,0,3,11
10074,1962,Graduation,Married,99021.0,0,0,2012-07-09,15,753,283,130,22,6,261,4,6,9,5,2,0,0,0,1,1,1,0,3,11
10075,1975,Graduation,Single,76116.0,0,0,2012-10-23,43,1030,96,372,197,394,24,2,9,6,15,4,0,0,0,0,1,0,0,3,11
10076,1980,2n Cycle,Together,73411.0,1,0,2013-01-17,19,535,25,368,254,65,283,5,18,0,7,5,0,0,0,1,1,0,0,3,11
10077,1966,Graduation,Widow,36406.0,0,1,2014-04-21,56,55,18,34,17,58,8,4,4,1,3,11,0,0,0,0,0,0,0,3,11
10078,1972,Master,Together,26267.0,0,1,2014-03-13,99,59,10,84,18,7,20,5,2,3,6,9,0,0,0,0,0,0,0,3,11
10079,1974,Graduation,Divorced,34691.0,1,1,2014-01-19,49,162,9,147,17,0,17,2,1,2,5,16,0,0,0,0,0,0,0,3,11
10080,1966,Graduation,Divorced,41300.0,0,2,2012-12-29,53,68,41,109,28,4,4,5,2,1,3,5,1,1,0,0,0,0,0,3,11
10081,1979,2n Cycle,Divorced,52263.0,0,0,2013-03-31,46,548,61,295,28,5,142,1,2,5,9,3,0,0,0,1,0,0,0,3,11
10082,1960,Graduation,Together,58998.0,0,0,2013-03-30,34,433,38,200,92,64,179,4,8,2,10,7,1,0,1,0,0,0,0,3,11
10083,1962,Graduation,Married,107931.0,0,0,2013-02-18,14,445,1,182,281,78,443,2,2,2,19,3,0,1,1,0,0,0,0,3,11
10084,1967,Graduation,Married,92313.0,1,0,2012-06-27,25,468,98,373,648,345,35,0,8,3,20,4,1,0,0,0,0,0,0,3,11
10085,1963,Graduation,Single,48767.0,0,0,2012-08-14,32,883,315,811,129,228,365,0,13,9,19,7,0,0,0,0,0,0,0,3,11
10086,1975,Graduation,Together,29429.0,0,1,2013-06-06,37,158,18,77,37,5,86,10,4,2,5,7,1,0,0,0,0,0,0,3,11
10087,1987,Master,Together,94786.0,1,0,2012-07-05,50,422,25,469,9,16,141,1,8,4,5,8,1,0,1,0,1,0,0,3,11
10088,1953,Graduation,Married,80681.0,0,0,2012-03-09,62,471,132,343,86,288,383,2,4,4,17,2,0,1,0,0,0,0,0,3,11
10089,1959,Graduation,Single,25553.0,0,2,2012-07-22,15,48,18,68,3,5,3,11,2,3,2,7,0,0,0,0,0,0,0,3,11
10090,1959,Graduation,Single,115222.0,0,0,2014-03-30,36,565,63,159,167,272,45,1,4,3,7,5,1,0,1,0,0,0,0,3,11
10091,1975,Master,Together,38102.0,1,1,2014-04-27,55,108,21,79,1,41,67,4,1,1,3,5,0,0,0,0,0,0,0,3,11
10092,1980,Graduation,Divorced,81075.0,1,0,2012-02-19,31,318,25,357,152,181,59,1,4,1,11,4,0,0,0,0,0,1,0,3,11
10093,1966,2n Cycle,Divorced,68702.0,1,0,2012-08-27,45,736,20,214,13,48,152,3,12,1,11,5,0,0,0,1,0,0,0,3,11
10094,1980,2n Cycle,Together,71243.0,0,0,2013-12-24,68,226,77,308,269,241,587,2,14,5,8,10,1,0,0,0,1,0,0,3,11
10095,1977,Graduation,Single,40861.0,0,2,2013-02-05,63,46,29,32,26,14,31,7,1,0,3,5,0,0,0,0,0,0,0,3,11
10096,1963,Graduation,Divorced,74730.0,0,1,2012-07-09,59,453,134,352,20,40,52,1,4,5,9,6,0,1,0,0,0,0,0,3,11
10097,1967,Master,Married,141925.0,0,0,2013-09-05,27,350,760,283,87,512,49,0,11,5,16,2,0,1,0,0,0,0,0,3,11
10098,1952,Graduation,Together,109291.0,0,0,2013-08-10,36,350,146,241,251,175,290,0,9,3,11,1,0,0,0,1,0,0,0,3,11
10099,1965,Master,Divorced,37909.0,0,1,2013-08-03,40,545,62,264,27,5,164,0,8,3,8,4,1,0,0,0,0,0,0,3,11
10100,1949,Basic,Divorced,56859.0,0,0,2012-12-12,52,512,84,131,12,42,94,2,4,5,5,6,0,0,0,0,0,0,0,3,11
10101,1955,PhD,Together,47745.0,0,1,2013-11-24,52,150,22,76,30,14,21,2,1,1,5,3,0,0,0,0,0,0,0,3,11
10102,1977,Graduation,Divorced,82676.0,0,0,2012-08-05,40,1199,79,343,83,282,288,3,10,10,13,5,0,1,0,0,0,0,0,3,11
10103,1956,Graduation,Single,47747.0,0,0,2012-12-07,15,198,35,42,18,32,25,2,1,1,3,5,1,0,0,0,0,0,0,3,11
