InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536000,S0006,BAKING SET SPACEBOY,6,2010-12-01 04:34:00,13.99,15052,United Kingdom
536000,S0007,PAPER BUNTING,2,2010-12-01 04:34:00,14.41,15052,United Kingdom
536000,S0015,LANTERN CREAM,9,2010-12-01 04:34:00,5.02,15052,United Kingdom
536000,S0014,WOODEN PICTURE FRAME,6,2010-12-01 04:34:00,8.65,15052,United Kingdom
536000,S0004,REGENCY CAKESTAND 3 TIER,4,2010-12-01 04:34:00,2.78,15052,United Kingdom
536000,S0012,WHITE HANGING HEART T-LIGHT HOLDER,3,2010-12-01 04:34:00,12.02,15052,United Kingdom
536000,S0013,SCENTED CANDLE SET,7,2010-12-01 04:34:00,15.02,15052,United Kingdom
536001,S0019,BALLOONS PASTEL,11,2010-12-02 23:39:00,11.81,17409,United Kingdom
536001,S0018,PAPER PLATES STARS,5,2010-12-02 23:39:00,15.1,17409,United Kingdom
536002,S0006,BAKING SET SPACEBOY,4,2010-12-03 01:59:00,13.99,16321,United Kingdom
536002,S0004,REGENCY CAKESTAND 3 TIER,10,2010-12-03 01:59:00,2.78,16321,United Kingdom
536002,S0007,PAPER BUNTING,7,2010-12-03 01:59:00,14.41,16321,United Kingdom
536002,S0005,CAKE TINS PANTRY DESIGN,6,2010-12-03 01:59:00,17.59,16321,United Kingdom
536003,S0003,GLASS SUGAR BOWL,10,2010-12-02 20:51:00,12.92,12514,United Kingdom
536003,S0000,VINTAGE TEA SET,7,2010-12-02 20:51:00,14.2,12514,United Kingdom
536004,S0008,JUMBO BAG RED RETROSPOT,5,2010-12-02 08:32:00,3.35,13797,United Kingdom
536004,S0013,SCENTED CANDLE SET,12,2010-12-02 08:32:00,15.02,13797,United Kingdom
536004,S0015,LANTERN CREAM,11,2010-12-02 08:32:00,5.02,13797,United Kingdom
536005,S0017,PAPER CUPS STARS,10,2010-12-02 01:31:00,2.27,15282,United Kingdom
536005,S0018,PAPER PLATES STARS,12,2010-12-02 01:31:00,15.1,15282,United Kingdom
